query,subject,positive_topic,negative_topic,correct_topic_id
What is a binary semaphore? [2],Operating Systems,Semaphores,Kernel Support for Files,167
Explain about deadlock detection. [7+8] r,Operating Systems,Deadlock Detection and Recovery,Scheduling Algorithms,164
Is the system currently deadlocked? Why or why not?,Operating Systems,Deadlock Characterization,Classical Problems of Synchronization,160
Describe the structure and working of a Simple Batch Operating System. How does it improve CPU util ization?,Operating Systems,Simple Batch Systems,System Components,143
Illustrate the semaphore functions with examples. 5+5 www. jntuonline.com,Operating Systems,Semaphores,Memory Management Unit (MMU),167
What is paging in memory management? Describe how logical addresses are translated into physical addresses in paging.,Operating Systems,Logical Versus Physical Address Space,Scheduling Algorithms,176
Describe about the different types of File allocation methods. [15] A,Operating Systems,File Allocation Methods,Memory Management Unit (MMU),185
a) What are the criteria for evaluating the CPU scheduling algorithm? A,Operating Systems,Scheduling Algorithms,File System Interface and Access Methods,157
a) Explain about the distributed operating1 system in brief.,Operating Systems,Distributed Systems,Multi-programmed Systems,148
What are the requirements of Critical section problem? [3] E,Operating Systems,Critical Section Problem,Directory Structure,165
What are system calls in an operating system?,Operating Systems,Operating System Services,Parallel Systems,151
"What is a monitor? Explain how dinning philosopher’s problem is solved using monitors with example pseudo code. [10] Explain the common techniques for structuring the page table. [10] Consider a swap ing system in which memory consists of the following hole sizes in memory order: KB, 4 KB, 20 KB, 18 KB, 7 KB, 9 KB, 12 KB, and [5 KB. Which ole is taken for successive segment requests of: (i) 12 KB (ii) 10 KB (iii) 9 KB for first fit, best fit, worst fit, and next fit approaches. Explain briefly about LFU Page replacement algorithm. [5+5] Explain the following with relevant diagrams:",Operating Systems,Virtual Address Space,Classical Problems of Synchronization,178
What is Demand Paging? [2],Operating Systems,Virtual Address Space,File Allocation Methods,178
Discuss the indexed file allocation method with an example. [5+5] N,Operating Systems,File Allocation Methods,Memory Management Unit (MMU),185
a) Describe basic method of segmentation. u,Operating Systems,Logical Versus Physical Address Space,Memory Management Unit (MMU),176
a) Explain different categories of system calls with sui5table example.,Operating Systems,Operating System Services,Logical Versus Physical Address Space,151
What is Semaphore? How can we achieve the synchronization 0using semaphore for producer consumer problem? [5+5] OR 1,Operating Systems,Semaphores,Deadlock Prevention,167
Write down the services provided by an operating systems with respect to device management. [5+5],Operating Systems,System Calls for File I/O Operations,Multiple-Processor Scheduling,187
Describe the logical and physical structure of a file system. How are files organized on secondary stor age? ---ooOoo---,Operating Systems,File System Structure,Threads,184
Can we ensure the same degree of security in a time-shared machine as in a dedicated machine? Explain your answer. [5+5] OR 0,Operating Systems,Time-shared Systems,File Allocation Methods,145
Why do processes need to communicate? [2],Operating Systems,Cooperating Processes,Disk Scheduling Algorithms FCFS SSTF SCAN C-SCAN,154
a) What is operating system? Explain multiprogramming and time sharing systems.,Operating Systems,Multi-programmed Systems,Deadlock Avoidance,144
What are the different file allocation methods?,Operating Systems,File Allocation Methods,Scheduling Algorithms,185
"Simulate FIFO, LRU and optimal page replacement algorithms on the following reference string and find number of page faults(number of frames = 4) 1,2,3,2,1,2,3,4,5,6,7,3,4,5,6,3 [10]",Operating Systems,Virtual Address Space,Multiple-Processor Scheduling,178
Explain how to eliminate the deadlocks using resource preemption. [3] PART-B (50 Marks),Operating Systems,Deadlock Characterization,Classical Problems of Synchronization,160
Distinguish between the client–server and peer-to-peer models of distributed systems. [5+5],Operating Systems,Distributed Systems,Operating System Services,148
a) How file protection is achieved by operating system?,Operating Systems,File Protection,File Allocation Methods,183
a) Summarize the evolution of Operating system in detail.,Operating Systems,Operating System Introduction,File System Structure,142
"What is the average waiting time and average turn around times of all processes for FCFS, SJF algorithm? [5+5] A Precesses Burst Time Priority P1 10 3 P2 1 1 M P3 2 3 P4 1 4 P5 5 2",Operating Systems,Scheduling Algorithms,Deadlock Prevention,157
"a) In a multiprogramming and time-sharing environment, several users share the system s simultaneously. This situation can result in various security problems. What are two such problems?",Operating Systems,Multi-programmed Systems,IPC Between Processes on Different Systems,144
Explain the preemptive and non-preemptive scheduling criteria. [5+5],Operating Systems,Scheduling Criteria,Deadlock Avoidance,156
a) Explain contiguous and linked file allocation methods.,Operating Systems,File Allocation Methods,Personal Computer Systems,185
