chunk_id,chunk_text,correct_topic_id,correct_topic_name,correct_subject,predicted_topic_id,predicted_topic_name,predicted_subject,failure_category,explanation
260,a) Discuss the Peterson’s solution for the race condition with algorithm.,165,Critical Section Problem,Operating Systems,157,Scheduling Algorithms,Operating Systems,Ambiguous/multi-topic chunk,Source text contains general terms spanning separate curriculum units (Process Synchronization and IPC vs CPU Scheduling and Deadlocks).
203,"Explain about the system calls fork, exit, wait, waitpid and exec. [15] S",151,Operating System Services,Operating Systems,155,Threads,Operating Systems,Near-miss error,Slight semantic mismatch between highly adjacent topics under the same unit (Introduction to Operating Systems).
159,Can a multithreaded solution using multiple user-level threads achieve better performance on a multiprocessor system than on a single-processor system? [5+5],147,Parallel Systems,Operating Systems,155,Threads,Operating Systems,Near-miss error,Slight semantic mismatch between highly adjacent topics under the same unit (Introduction to Operating Systems).
263,"a) Consider the following reference string 7,0,1,2,0,3,0,4,2,3,0,3,2,1,2,0,1,7,0,1. H Assume there are three frames. Apply LRU replacement algorithm to the reference sting above and find out how many page faults are produced. Illustrate the LRU page replacement algorithm in detail and also two feasible implementation of the LRU algorithm.",178,Virtual Address Space,Operating Systems,180,Relocation Register,Operating Systems,Near-miss error,Slight semantic mismatch between highly adjacent topics under the same unit (Memory Management).
281,Mention two important functions of Virtual File System. (VFS) Layer. [3],184,File System Structure,Operating Systems,178,Virtual Address Space,Operating Systems,Ambiguous/multi-topic chunk,Source text contains general terms spanning separate curriculum units (File Systems and Disk Management vs Memory Management).
229,a) Explain FIFO and Round Robbin CPU scheduling algorithm. Why do we need?,178,Virtual Address Space,Operating Systems,157,Scheduling Algorithms,Operating Systems,Ambiguous/multi-topic chunk,Source text contains general terms spanning separate curriculum units (Memory Management vs CPU Scheduling and Deadlocks).
146,How does multiprogramsming increase CPU utilization? [3],144,Multi-programmed Systems,Operating Systems,147,Parallel Systems,Operating Systems,Near-miss error,Slight semantic mismatch between highly adjacent topics under the same unit (Introduction to Operating Systems).
241,Explain the technique used to prevent the deadlock. [5+5] H OR,160,Deadlock Characterization,Operating Systems,162,Deadlock Prevention,Operating Systems,Near-miss error,Slight semantic mismatch between highly adjacent topics under the same unit (CPU Scheduling and Deadlocks).
199,What is Mutual exclusion? Explain Peterson’s solution for mutual exclusion problem. [15] ---ooOoo---,160,Deadlock Characterization,Operating Systems,165,Critical Section Problem,Operating Systems,Ambiguous/multi-topic chunk,Source text contains general terms spanning separate curriculum units (CPU Scheduling and Deadlocks vs Process Synchronization and IPC).
264,Explain about Swapping. [5+5] S,176,Logical Versus Physical Address Space,Operating Systems,180,Relocation Register,Operating Systems,Near-miss error,Slight semantic mismatch between highly adjacent topics under the same unit (Memory Management).
202,List out the types of operating system and explain batch OS and time sharing OS in brief. [15] U,145,Time-shared Systems,Operating Systems,143,Simple Batch Systems,Operating Systems,Near-miss error,Slight semantic mismatch between highly adjacent topics under the same unit (Introduction to Operating Systems).
