chunk_id,chunk_text,subject,correct_topic_id,correct_topic_name
93,a) Define an operating system.,Operating Systems,142,Operating System Introduction
94,What are system calls in an operating system?,Operating Systems,151,Operating System Services
95,What are the main criteria used to evaluate CPU scheduling algorithms?,Operating Systems,157,Scheduling Algorithms
96,"Once a deadlock is detected, what are the options for recovery?",Operating Systems,164,Deadlock Detection and Recovery
97,What is Interprocess Communication (IPC)?,Operating Systems,154,Cooperating Processes
98,What is swapping in memory management?,Operating Systems,176,Logical Versus Physical Address Space
99,What is the structure and role of a page table?,Operating Systems,178,Virtual Address Space
100,What are the different file allocation methods?,Operating Systems,185,File Allocation Methods
101,Define the syntax of read() system call. PART – B (50 Marks),Operating Systems,187,System Calls for File I/O Operations
102,Describe the structure and working of a Simple Batch Operating System. How does it improve CPU util ization?,Operating Systems,143,Simple Batch Systems
103,What services does an operating system provide to users and applications? Explain each with an exa mple.,Operating Systems,151,Operating System Services
104,Describe the Shortest Job First (SJF) scheduling algorithm. How does preemptive SJF (Shortest Remaining Time First) differ from non-preemptive SJF?,Operating Systems,157,Scheduling Algorithms
105,Explain the system model used for deadlock analysis. What are the necessary conditions for a deadlock to occur?,Operating Systems,160,Deadlock Characterization
106,Explain how semaphores can be used to solve the critical section problem. Provide a producer-consumer example using semaphores.,Operating Systems,167,Semaphores
107,Explain shared memory as an IPC mechanism. What are the benefits and challenges of using shared memory?,Operating Systems,175,Shared Memory
108,Explain the FIFO (First-In-First-Out) page replacement algorithm. What is Belady's anomaly?,Operating Systems,178,Virtual Address Space
109,What is paging in memory management? Describe how logical addresses are translated into physical addresses in paging.,Operating Systems,176,Logical Versus Physical Address Space
110,What is file protection in operating systems? Describe the different access control mechanisms.,Operating Systems,183,File Protection
111,Describe the logical and physical structure of a file system. How are files organized on secondary stor age? ---ooOoo---,Operating Systems,184,File System Structure
116,a) What is a hard real time system? [2],Operating Systems,149,Real-Time Systems
117,What is symmetric multiprocessor system? List out its characteristics. [3],Operating Systems,147,Parallel Systems
118,Why do processes need to communicate? [2],Operating Systems,154,Cooperating Processes
119,What is the use of waitpid() system call? [3],Operating Systems,151,Operating System Services
120,What is a binary semaphore? [2],Operating Systems,167,Semaphores
122,What is internal fragmentation? [2],Operating Systems,176,Logical Versus Physical Address Space
123,Distinguish between logical address and physical address. [3],Operating Systems,176,Logical Versus Physical Address Space
124,What is a bit vector? [2],Operating Systems,184,File System Structure
125,Explain acyclic graph directory structure. [3] PART – B (50 Marks),Operating Systems,182,Directory Structure
126,a) Distinguish between parallel and distributed systems.,Operating Systems,148,Distributed Systems
127,Write down the features of multi programmed and Time shared systems. [5+5],Operating Systems,144,Multi-programmed Systems
128,a) Summarize the evolution of Operating system in detail.,Operating Systems,142,Operating System Introduction
129,Write down the services provided by an operating systems with respect to device management. [5+5],Operating Systems,187,System Calls for File I/O Operations
131,Explain the preemptive and non-preemptive scheduling criteria. [5+5],Operating Systems,156,Scheduling Criteria
133,Briefly discuss about various operations performed on processes. [6+4],Operating Systems,153,Operations on Processes
134,What is a deadlock? Explain various deadlock prevention strategies with brief illustrations. [10],Operating Systems,162,Deadlock Prevention
135,What is process synchronization? How can it be achieved through monitors? Explain. [10],Operating Systems,170,Monitors
136,"Simulate FIFO, LRU and optimal page replacement algorithms on the following reference string and find number of page faults(number of frames = 4) 1,2,3,2,1,2,3,4,5,6,7,3,4,5,6,3 [10]",Operating Systems,178,Virtual Address Space
137,Explain segmentation memory management scheme with neat diagrams. [10],Operating Systems,176,Logical Versus Physical Address Space
138,List and explain various file allocation methods with their relative merits and demerits. [10],Operating Systems,185,File Allocation Methods
139,a) How file protection is achieved by operating system?,Operating Systems,183,File Protection
140,"Explain about lseek(), open() and read() system calls. [4+6] ---ooOoo---",Operating Systems,187,System Calls for File I/O Operations
145,a) Define the essential properties of parallel operating systems. [2],Operating Systems,147,Parallel Systems
146,How does multiprogramsming increase CPU utilization? [3],Operating Systems,144,Multi-programmed Systems
147,Write about wait command. [2] e,Operating Systems,153,Operations on Processes
148,How does priority scheduling differ from round robin method? [3],Operating Systems,157,Scheduling Algorithms
149,What is a message queues? [2] d,Operating Systems,174,Message Queues
150,Give an example of the situation describing deadlock. [3],Operating Systems,160,Deadlock Characterization
151,What is the purpose of paging the page tpables? [3],Operating Systems,178,Virtual Address Space
153,List down various file attributes. [3] p PART – B e (50 Marks) r,Operating Systems,181,File System Interface and Access Methods
154,"a) In a multiprogramming and time-sharing environment, several users share the system s simultaneously. This situation can result in various security problems. What are two such problems?",Operating Systems,144,Multi-programmed Systems
155,Can we ensure the same degree of security in a time-shared machine as in a dedicated machine? Explain your answer. [5+5] OR 0,Operating Systems,145,Time-shared Systems
157,Distinguish between the client–server and peer-to-peer models of distributed systems. [5+5],Operating Systems,148,Distributed Systems
159,Can a multithreaded solution using multiple user-level threads achieve better performance on a multiprocessor system than on a single-processor system? [5+5],Operating Systems,147,Parallel Systems
160,a) Describe the actions taken by a thread library to context switch between user-level threads.,Operating Systems,155,Threads
162,a) Demonstrate that monitors and semaphores are equivalent as they can be used to implement the same types of synchronization problems. Jb) What is critical-section problem? Give a classic Peterson’s solution to the critical- section problem. [5+5] N OR,Operating Systems,167,Semaphores
165,Explain the concept of Least Recently Used memory page replacement method and how it is different from sFirst In First Out (FIFO) page replacement method. [10] e,Operating Systems,178,Virtual Address Space
171,a) ExplaiUn about time-sharing operating systems.,Operating Systems,145,Time-shared Systems
172,Define real time system. Explain about real time operating system. [7+8] s,Operating Systems,149,Real-Time Systems
173,a) Briefly explain abeout system calls.,Operating Systems,151,Operating System Services
174,Explain about the system components of OS. [9+6] d,Operating Systems,150,System Components
176,Explain about shortest Job First Scheduling algorithm with an example. [7+8] p,Operating Systems,157,Scheduling Algorithms
177,a) Describe Round Robin scheduling aalgorithm with example.,Operating Systems,157,Scheduling Algorithms
178,Explain about fork and exit system calls with examples. [8+7] p,Operating Systems,151,Operating System Services
180,Explain about deadlock detection. [7+8] r,Operating Systems,164,Deadlock Detection and Recovery
181,a) Describe IPC between processes on a single computer system.,Operating Systems,154,Cooperating Processes
182,Discuss about implementation of Semaphores. [7+8] A,Operating Systems,167,Semaphores
183,a) Describe basic method of segmentation. u,Operating Systems,176,Logical Versus Physical Address Space
184,Explain about performance of demand paging. [8+7] g,Operating Systems,178,Virtual Address Space
188,"Differentiate between Multi Programming, Multi Tasking and Multi processing systems. H [8+7]",Operating Systems,144,Multi-programmed Systems
189,Consider the following five processes with the length of the CPU burst time in U milliseconds. Process sBurst Time Priority P1 10 3 e P2 1 1 P3 2 d3 P4 1 4 P5 5 2 Processes are assumed to have arrived at time 0. For the above set of processes find the average waiting time and average turn around time - for each of the following scheduling algorithm using Gantt chart. Consider 1 is highest priority:,Operating Systems,157,Scheduling Algorithms
190,SJF b) Non Preemptive Priority [7+8],Operating Systems,157,Scheduling Algorithms
191,What is Deadlock? List the condition that leads to deadlo-ck. How deadlock can be prevented. [15],Operating Systems,160,Deadlock Characterization
192,a) Distinguish between logical verses physical address space.,Operating Systems,176,Logical Versus Physical Address Space
193,Explain about Virtual Memory Management in detail. [7+8],Operating Systems,178,Virtual Address Space
194,Describe about the different types of File allocation methods. [15] A,Operating Systems,185,File Allocation Methods
196,Write short note on Real Time Operating Systems. [M8+7],Operating Systems,149,Real-Time Systems
197,a) What is Demand paging? Explain.,Operating Systems,178,Virtual Address Space
198,Discuss about segmentation with an example. [7+8],Operating Systems,176,Logical Versus Physical Address Space
199,What is Mutual exclusion? Explain Peterson’s solution for mutual exclusion problem. [15] ---ooOoo---,Operating Systems,160,Deadlock Characterization
202,List out the types of operating system and explain batch OS and time sharing OS in brief. [15] U,Operating Systems,145,Time-shared Systems
203,"Explain about the system calls fork, exit, wait, waitpid and exec. [15] S",Operating Systems,151,Operating System Services
204,What is Semaphore? Give the implementation of Bounded Buffer Producer Consumer Problem using Semaphore. [15] E,Operating Systems,167,Semaphores
205,Explain the swapping in memory management. [15] D,Operating Systems,176,Logical Versus Physical Address Space
207,Explain about lseek( ) and stat( ) system calls. [7+8],Operating Systems,187,System Calls for File I/O Operations
208,a) Explain about the distributed operating1 system in brief.,Operating Systems,148,Distributed Systems
209,Explain the various system calls are used in -OS. [7+8],Operating Systems,151,Operating System Services
210,"Consider the following set of processes, with the length of the CPU burst given in milliseconds: Process Burst Time Priority - P1 27 5 P2 12 1 2 P3 37 2 P4 19 4 0 P5 10 3 The processes are assumed to have arrived in the order P1, P2, P3, P4, P5 all at time 0. Draw the Gantt charts that illustrate the execution of these processes using the following scheduling algorithms: FCFS, SJF and Priority. Also determine the average waiting time and average turnaround time for each of the algorithms. [15] P",Operating Systems,149,Real-Time Systems
211,a) Explain contiguous and linked file allocation methods.,Operating Systems,185,File Allocation Methods
217,What are the disadvEantages of semaphore. [2],Operating Systems,167,Semaphores
218,What is a critical section? Give example. [3],Operating Systems,165,Critical Section Problem
219,Compare internal and external fragmentation. [2] D,Operating Systems,176,Logical Versus Physical Address Space
223,"Explain safe, unsafe and deadlock state process. [2]",Operating Systems,160,Deadlock Characterization
224,What are the conditions used in Banker’s algorithm? [3] PART – B (50 Marks),Operating Systems,163,Deadlock Avoidance
225,a) Explain different categories of system calls with sui5table example.,Operating Systems,151,Operating System Services
227,a) Explain features of Distributed Operating System.,Operating Systems,148,Distributed Systems
229,a) Explain FIFO and Round Robbin CPU scheduling algorithm. Why do we need?,Operating Systems,178,Virtual Address Space
231,a) What are the criteria for evaluating the CPU scheduling algorithm? A,Operating Systems,157,Scheduling Algorithms
232,What is a process? Explain Process Control Block. [5+5] M 6a) What is virtual memory? Discuss the benefits of virtual memory techniques.,Operating Systems,178,Virtual Address Space
234,"a) Consider the following page reference string 1,2,3,4,2,1,5,6,2,1,2,3,7,6,3,2,1,2,3,6 Determine how many page faults would occur for Optimal page replacement algorithm. Assume three frames are initially empty.",Operating Systems,178,Virtual Address Space
235,Discuss the procedure for page fault in demand paging. [5+5],Operating Systems,178,Virtual Address Space
237,Discuss the indexed file allocation method with an example. [5+5] N,Operating Systems,185,File Allocation Methods
240,a) Explain deadlock detection algorithm with an example.,Operating Systems,164,Deadlock Detection and Recovery
