chunk1_id,chunk2_id,subject,cosine_similarity,pair_type,manual_label,chunk1_text,chunk2_text
10580,10788,DBMS,0.917631,near_threshold,1,"newer database systems are relaxing this requirement, in this chapter we will assume that italways holds. 2NF is mainly of historical interest. 3NF and BCNF are important from a database design standpoint. Boyce-Codd Normal Form Let R be a relation schema, X be a subset of the attributes of R, and let A be an attribute of R. R is in Boyce-Codd normal form if for every FD X ! A that holds over R, one of thefollowing statements is true:  A 2 X; that is, it is a trivial FD, or  X is a super key. Note that if we are given a set F of FDs, according to this de nition, we must consider each dependency X ! A in the closure F + to determine whether R is in BCNF. However, we can provethat it is sufficient to check whether the left side of each dependency in F is a super key (by computing the attri","in 3NF is also in 2NF, and every relation in 2NF is in 1NF. A relation is in first normal form if every field contains only atomic values, that is, not lists or sets. This requirement is implicit in our definition of the relational model. Although some of the newer database systems are relaxing this requirement, in this chapter we will assume that it always holds. 2NF is mainly of historical interest. 3NF and BCNF are important from a database design standpoint. Boyce-Codd Normal Form(BCNF): Let R be a relation schema, X be a subset of the attributes of R, and let A be an attribute of R. R is in Boyce-Codd normal form if for every FD X ->A that holds over R, one of the following statements is true: A -> X; that is, it is a trivial FD, or X is a super key. Note that if we are given a set F"
7558,8451,Operating Systems,0.890373,near_threshold,1,"processes are swapped in and out of the CPU, so must their code and data be swapped in and out of memory, all at high speeds and without interfering with any other processes. • Shared memory, virtual memory, the classification of memory as read-only versus read-write, and concepts like copy-on-write forking all further complicate the issue. Basic Hardware • It should be noted that from the memory chips point of view, all memory accesses are equivalent. The memory hardware doesn't know what a particular part of memory is being used for, nor does it care. This is almost true of the OS as well, although not entirely. • The CPU can only access its registers and main memory. It cannot, for example, make direct access to the hard drive, so any data stored there must first be transferred into the","operation. Every instruction has to be fetched from memory before it can be executed, and most instructions involve retrieving data from memory or storing data in memory or both.  The advent of multi-tasking OSs compounds the complexity of memory management, because as processes are swapped in and out of the CPU, so must their code and data be swapped in and out of memory, all at high speeds and without interfering with any other processes.  Shared memory, virtual memory, the classification of memory as read-only versus read-write, and concepts like copy-on-write forking all further complicate the issue. 4.1.1 Basic Hardware  It should be noted that from the memory chips point of view, all memory accesses are equivalent. The memory hardware doesn't know what a particular part of memory"
7318,7319,Operating Systems,0.86468,near_threshold,0,"cat [path] 2. head : Displays the first n lines of the specified text files. If the number of lines is not specified then by default prints first 10 lines. head [-number_of_lines_to_print] [path] 3. tail : It works the same way as head, just in reverse order. The only difference in tail is, it returns the lines from bottom to up. tail [-number_of_lines_to_print] [path] 4. sort : Sorts the lines alphabetically by default but there are many options available to modify the sorting mechanism. Be sure to check out the main page to see everything it can do. sort [-options] [path] 5. uniq : Removes duplicate lines. uniq has a limitation that it can only remove continuous duplicate lines(although this can be fixed by the use of piping). Assuming we have the following data. uniq [options] [path] Wh","Assuming we have the following data. uniq [options] [path] When applying uniq to sorted data, it removes the duplicate lines because, after sorting data, duplicate lines come together. 6. wc : wc command gives the number of lines, words and characters in the data. wc [-options] [path] In above image the wc gives 4 outputs as: • number of lines • number of words • number of characters • path 7. grep : grep is used to search a particular information from a text file. grep [options] pattern [path] Below are the two ways in which we can implement grep. 8. tac : tac is just the reverse of cat and it works the same way, i.e., instead of printing from lines 1 through n, it prints lines n through 1. It is just reverse of cat command. tac [path] 9. sed : sed stands for stream editor. It allows us t"
9641,9645,Computer Networks,0.856254,near_threshold,0,"TCP offers full-duplex service, in which data can flow in both directions at the same time. Each TCP then has a sending and receiving buffer, and segments move in both directions 6 Connection-Oriented Service TCP is a connection-oriented protocol. When a process at site A wants to send and receive data from another process at site B, the following occurs: 1. The two TCPs establish a connection between them. 2. Data are exchanged in both directions. 3. The connection is terminated. 7 Reliable Service TCP is a reliable transport protocol. It uses an acknowledgment mechanism to check the safe and sound arrival of data. We will discuss this feature further in the section on error control. 1 Numbering System There are two fields called the sequence number and the acknowledgment number. These tw","TCP is a reliable transport layer protocol. This means that an application program that delivers a stream of data to TCP relies on TCP to deliver the entire stream to the application program on the other end in order, without error, and without any part lost or duplicated. TCP provides reliability using error control. Error control includes mechanisms for detecting corrupted segments, lost segments, out-of-order segments, and duplicated segments. Error control also includes a mechanism for correcting errors after they are detected. Error detection and correction in TCP is achieved through the use of three simple tools: checksum, acknowledgment, and time-out. Each segment includes a checksum field which is used to check for a corrupted segment. If the segment is corrupted, it is discarded b"
7290,8301,Operating Systems,0.851744,near_threshold,0,"at same time. • Hierarchical File System - Linux provides a standard file structure in which system files/ user files are arranged. • Shell - Linux provides a special interpreter program which can be used to execute commands of the operating system. It can be used to do various types of operations, callapplication programs etc. • Security - Linux provides user security using authentication features like password Linux Advantages 1. Low cost: You don‘t need to spend time and money to obtain licenses since Linux and much of its software come with the GNU General Public License. You can start to work immediately without worrying that your software may stop working anytime because the free trial version expires. Additionally, there are large repositories from which you can freely download high","It can handle unusually large numbers of users simultaneously, and can make old computers sufficiently responsive to be useful again. 4. Network friendliness: Linux was developed by a group of programmers over the Internet and has therefore strong support for network functionality; client and server systems can be easily set up on any computer running Linux. It can perform tasks such as network backups faster and DEPT OF CSE 13 more reliably than alternative systems. 5. Flexibility: Linux can be used for high performance server applications, desktop applications, and embedded systems. You can save disk space by only installing the components needed for a particular use. You can restrict the use of specific computers by installing for example only selected office applications instead of the"
8783,8784,Operating Systems,0.850191,near_threshold,1,"scheduling is a important OS function. All resources are scheduled before use.(cpu, memory, devices…..) Process scheduling is an essential part of a Multiprogramming operating systems. Such operating systems allow more than one process to be loaded into the executable memory at a time and the loaded process shares the CPU using time multiplexing . Scheduling Objectives  Maximize throughput.  Maximize number of users receiving acceptable response times.  Be predictable.  Balance resource use.  Avoid indefinite postponement.  Enforce Priorities.  Give preference to processes holding key resources scheduling is a important OS function. All resources are scheduled before use.(cpu, memory, devices…..) Process scheduling is an essential part of a Multiprogramming operating systems. Such o","Such operating systems allow more than one process to be loaded into the executable memory at a time and the loaded process shares the CPU using time multiplexing . Scheduling Objectives  Maximize throughput.  Maximize number of users receiving acceptable response times.  Be predictable.  Balance resource use.  Avoid indefinite postponement.  Enforce Priorities.  Give preference to processes holding key resources SCHEDULING QUEUES: people live in rooms. Process are present in rooms knows as queues. There are 3types 1. job queue: when processes enter the system, they are put into a job queue, which SCHEDULING QUEUES: people live in rooms. Process are present in rooms knows as queues. There are 3types 1. job queue: when processes enter the system, they are put into a job queue, which"
7800,7811,Operating Systems,0.849468,near_threshold,0,"The page replacement algorithms are used for the decision making of replacing the page in physical address space. 5. The page table will updated accordingly. 6. The signal will be sent to the CPU to continue the program execution and it will place the PAGE FAULT – A page fault happens when a running program accesses a memory page that is mapped into the virtual address space, but not loaded in physical memory. Since actual physical memory is much smaller than virtual memory, page faults happen. In case of page fault, Operating System might have to replace one of the existing pages with the newly needed page. Different page replacement algorithms suggest different ways to decide which page to replace. The target for all algorithms is to reduce the number of page faults. physical address and","the process on an I/O wait, allowing some other process to use the CPU in the meantime. ) 5. When the I/O operation is complete, the process’s page table is updated with the new frame number, and the invalid bit is changed to indicate that this is now a valid page reference. 6. The instruction that caused the page fault must now be restarted from the beginning, ( as soon First In First Out (FIFO) – This is the simplest page replacement algorithm. In this algorithm, the operating system keeps track of all pages in the memory in a queue, the oldest page is in the front of the queue. When a page needs to be replaced page in the front of the queue is selected for removal. Example-1 Consider page reference string 1, 3, 0, 3, 5, 6 with 3 page frames. Find number of page faults. Initially all slo"
9045,9080,Computer Networks,0.848033,near_threshold,0,"3. Network Layer: This is responsible for addressing messages and data so they are sent to the correct destination, and for translating logical addresses and names (like a machine name FLAME) into physical addresses. This layer is also responsible for finding a path through the network to the destination computer. 2. Data-Link Layer: This layer takes the data frames or messages from the Network Layer and provides for their actual transmission. At the receiving computer, this layer receives the incoming data and sends it to the network layer for handling. The Data-Link Layer also provides error-free delivery of data between the two computers by using the physical layer. It does this by packaging the data from the Network Layer into a frame, which includes error detection information. At the","6. Presentation Layer: Determines the format used to exchange data among networked computers. 5. Session Layer: Allows two applications to establish, use and disconnect a connection between them called a session. Provides for name recognition and additional functions like security, which are needed to allow applications to communicate over the network. 4. Transport Layer: Ensures that data is delivered error free, in sequence and with no loss, duplications or corruption. This layer also repackages data by assembling long messages into lots of smaller messages for sending, and repackaging the smaller messages into the original larger message at the receiving end. 3. Network Layer: This is responsible for addressing messages and data so they are sent to the correct destination, and for trans"
9497,10308,Computer Networks,0.846272,near_threshold,0,"sending during the one I-ms period that this station is sending. The throughput for pure ALOHA is S = G × e −2G . The maximum throughput Smax = 0.184 when G= (1/2). PROBLEM A pure ALOHA network transmits 200-bit frames on a shared channel of 200 kbps. What is the throughput if the system (all stations together) produces a. 1000 frames per second b. 500 frames per second c. 250 frames per second. The frame transmission time is 200/200 kbps or 1 ms. a. If the system creates 1000 frames per second, this is 1 frame per millisecond. The load is 1. In this case S = G× e−2 G or S = 0.135 (13.5 percent). This means that the throughput is 1000 × 0.135 = 135 frames. Only 135 frames out of 1000 will probably survive. b. If the system creates 500 frames per second, this is (1/2) frame per millisecond.","to one-half, equal to Tfr Figure 4 shows the situation Below fig shows that the vulnerable time for slotted ALOHA is one-half that ofpure ALOHA. Slotted ALOHA vulnerable time = Tfr The throughput for slotted ALOHA is S = G × e−G . The maximum throughput Smax = 0.368 when G =1. A slotted ALOHA network transmits 200-bit frames using a shared channel witha 200- Kbps bandwidth. Find the throughput if the system (all stations together) produces a. 1000 frames per second b. 500 frames per second c. 250 frames per second Solution This situation is similar to the previous exercise except that the network is using slotted ALOHA instead of pure ALOHA. The frame transmission time is 200/200 kbps or 1 ms. a. In this case G is 1. So S =G x e-G or S =0.368 (36.8 percent). This means thatthe throughput i"
8017,8020,Operating Systems,0.84504,near_threshold,0,"P3 2 9 p4 3 5 If the processes arrive at the ready queue at the times shown and need the indicated burst times, then the resulting preemptive SJF schedule is as depicted in the following Gantt chart: Process PI is started at time 0, since it is the only process in the queue. Process PZ arrives at time 1. The remaining time for process P1 (7 milliseconds) is larger than the time required by process P2 (4 milliseconds), so process P1 is preempted, and process P2 is scheduled. The average waiting time for this The SJF algorithm is a special case of the general priority-scheduling algorithm. A priority is associated with each process, and the CPU is allocated to the process with the highest priority. Equal-priority processes are scheduled in FCFS order. An SJF algorithm is simply a priority al","paid for computer use, the department sponsoring the work, and other, often political, factors. Priority scheduling can be either preemptive or nonpreemptive. When a process arrives at the ready queue, its priority is compared with the priority of the currently running process. If we were using the FCFS scheduling scheme, then the average waiting time would be 10.25 milliseconds. The SJF scheduling algorithm is provably optimal, in that it gives the minimum average waiting time for a given set of processes. By moving a short process before a long one, the waiting time of the short process decreases more than it increases the waiting time of the long process. Consequently, the average waiting time decreases. The real difficulty with the SJF algorithm is knowing the length of the next CPU re"
9567,10334,Computer Networks,0.841089,near_threshold,0,"used inside an autonomous system, but not between autonomous systems. These two protocols are not suitable for inter domain routing mostly because of scalability. Both of these routing protocols become intractable when the domain of operation becomes large. Distance vector routing is subject to instability in the domain of operation. Link state routing needs a huge amount of resources to calculate routing tables. It also creates heavy traffic because of flooding. There is a need for a third routing protocol which we call path vector routing. Path vector routing proved to be useful for inter domain routing. The principle of path vector routing is similar to that of distance vector routing. In path vector routing, we assume that there is one node (there can be more, but one is enough for our","flooding. There is a need for a third routing protocol which we call path vector routing. Path vector routing proved to be useful for inter domain routing. The principle of path vector routing is similar to that of distance vector routing. In path vector routing, we assume that there is one node (there can be more, but one is enough for our conceptual discussion) in each AS that acts on behalf of the entire AS. Let us call it the speaker node. The speaker node in an AS creates a routing table and advertises it to speaker nodes in the neighboring ASs. The idea is the same as for distance vector routing except that only speaker nodes in each AS can communicate with each other. However, what is advertised is different. A speaker node advertises the path, not the metric of the nodes, in its au"
10840,10841,DBMS,0.834448,near_threshold,1,"techniques, which can help DBMS in recovering as well as maintaining the atomicity of transaction: actually modifying the database. Maintaining shadow paging, where are the changes are done on a volatile memory and later the actual database is updated. LOG-BASED RECOVERY Log is a sequence of records, which maintains the records of actions performed by a transaction. It is important that the logs are written prior to actual modification and stored on a stable storage media, which is failsafe. Log based recovery works as follows: The log file is kept on stable storage media When a transaction enters the system and starts execution, it writes a log about it <Tn, Start> When the transaction modifies an item X, it write logs as follows: <Tn, X, V1, V2> It reads Tn has changed the value of X, fr","When transaction finishes, it logs: <Tn, commit> Database can be modified using two approaches: 1. Deferred database modification: All logs are written on to the stable storage and database is updated when transaction commits. 2. Immediate database modification: Each log follows an actual database modification. That is, database is modified immediately after every operation. RECOVERY WITH CONCURRENT TRANSACTIONS When more than one transactions are being executed in parallel, the logs are interleaved. At the time of recovery it would become hard for recovery system to backtrack all logs, and then start recovering. To ease this situation most modern DBMS use the concept of 'checkpoints'. Checkpoint Keeping and maintaining logs in real time and in real environment may fill out all the memory"
7363,8920,Operating Systems,0.832306,near_threshold,0,"CIRCULAR WAIT: A set {P0,P1,…..Pn} of waiting processes must exist such that P0 is waiting for resource held by P1, P1 is waiting for a resource held by P2,……,Pn-1 is waiting for a resource held by Pn and Pn is waiting for a resource held byP0. RESOURCE ALLOCATION GRAPH Deadlocks can be described more precisely in terms of a directed graph called a system resource allocation graph. This graph consists of a set of vertices V and a set of edges E. the set of verticesV is partitioned into 2 different types of nodes: P = {P1, P2….Pn}, the set consisting of all the active processes in the system. R= {R1, R2….Rm}, the set consisting of all resource types in the system. A directed edge from process Pi to resource type Rj is denoted by Pi ->Rj. It signifies that process Pi has requested an instanc","PROCESS STATES: Process P1 is holding an instance of resource type R2 and is waiting for an instance of resource type R1. Process P2 is holding an instance of R1 and an instance of R2 and is waiting for instance of R3. Process P3 is holding an instance of R3. If the graph contains no cycles, then no process in the system is deadlocked. If the graph does contain a cycle, then a deadlock may exist. Suppose that process P3 requests an instance of resource type R2. Since no resource instance is currently available, a request edge P3 ->R2 is added to the graph. 2 cycles: P2 ->R3 ->P3 ->R2 ->P2 Processes P1, P2, P3 are deadlocked. Process P2 is waiting for the resource R3, which is held by process P3.process P3 is waiting for either process P1 (or) P2 to release resource R2. In addition, P2 ->R3"
7879,8288,Operating Systems,0.830945,near_threshold,0," Allocate and de-allocate memory space as needed. File Management A file is a collection of related information defined by its creator. Commonly, files represent programs (both source and object forms) and data. The operating system is responsible for the following activities in connections with file management: ✦ File creation and deletion. ✦ Directory creation and deletion. ✦ Support of primitives for manipulating files and directories. ✦ Mapping files onto secondary storage. ✦ File backup on stable (nonvolatile) storage media. I/O System Management The I/O system consists of: ✦ A buffer-caching system ✦ A general device-driver interface ✦ Drivers for specific hardware devices Secondary-Storage Management Since main memory (primary storage) is volatile and too small to accommodate all d","In I/O a file or an I/O devices can be involved.  I/O operations are the read or write operations which are done with the help of input-output devices.  Operating system give the access to the I/O devices when it required. 3) File system manipulation  The collection ofrelated information which represent some content is known as a file. The computer can store files on the secondary storage devices. For long-term storage purpose. examples of storage media include magnetic tape, magnetic disk and optical disk drives like CD, DVD. DEPT OF CSE 9  A file system is a collection of directories for easy understand and usage. These directories contain some files. There are some major activities which are performed by an operating system with respect to file management. o The operating syste"
9525,9826,Computer Networks,0.829154,near_threshold,0,"Even parity: To check for even parity, if the total number of 1s is even, then the value of the parity bit is 0. If the total number of 1s occurrences is odd, then the value of the parity bit is 1. Odd Parity: To check for odd parity, if the total number of 1s is even, then the value of parity bit is 1. If the total number of 1s is odd, then the value of parity bit is 0. Algorithm of Hamming code: An information of 'd' bits are added to the redundant bits 'r' to form d+r. The location of each of the (d+r) digits is assigned a decimal value. k-1 The 'r' bits are placed in the positions 1,2,.....2 At the receiving end, the parity bits are recalculated. The decimal value of the parity bits determines the position of an error. Relationship b/w Error position & binary number. Let's understand t","data transfer. The redundancy bits are placed at certain calculated positions to eliminate the errors and the distance between the two redundancy bits is called ""Hamming Distance"". Steps to find the Hamming Code − The hamming method uses the extra parity bits to allow the identification of a single-bit error. ● Step 1 − First write the bit positions starting from 1 in a binary form (1, 10, 11,100, etc.) ● Step 2 − Mark all the bit positions that are powers of two as parity bits (1, 2, 4, 8, 16, 32, 64, etc.) ● Step 3 − All other bit positions are for the data to be encoded using (3, 5, 6, 7, 9, 10 and 11, etc.) Each parity bit calculates the parity for some of the bits in the code word. The position of the parity determines the sequence of bits that it alternatively checks and skips. ● Pos"
9761,10342,Computer Networks,0.821366,near_threshold,0,"o It is a standard protocol that allows the systems to communicate over the internet. o It establishes and maintains a connection between hosts. o When data is sent over the TCP connection, then the TCP protocol divides the data into smaller units known as segments. Each segment travels over the internet using multiple routes, and they arrive in different orders at the destination. The transmission control protocol reorders the packets in the correct order at the receiving end. o User Datagram Protocol o User Datagram Protocol is a transport layer protocol. o It is an unreliable transport protocol as in this case receiver does not send any ac- knowledgment when the packet is received, the sender does not wait for any acknowl- edgment. Therefore, this makes a protocol unreliable. Functions","Transport Protocols: UDP, Introduction to TCP, The TCP Service Model, The TCP Segment Header, The Connection Establishment, The TCP Connection Release, The TCP Sliding Window, The TCP Congestion Control Algorithm. TRANSPORT LAYER The network layer provides end-to-end packet delivery using datagrams or virtual circuits. The transport layer builds on the network layer to provide data transport from a process on a source machine to a process on a destination machine with a desired level of reliability that is independent of the physical networks currently in use. Services Provided to the Upper Layers The ultimate goal of the transport layer is to provide efficient, reliable, and cost-effective data transmission service to its users, normallyprocesses in the application layer. To achieve this,"
8748,8750,Operating Systems,0.820538,near_threshold,1,"o allocate and free memory File management OS provides an API to make these system calls for managing files o create file, delete file o open, close file o read, write, reposition o get and set file attributes Device management Process requires several resources to execute, if these resources are available, they will be granted and control retuned to user process. Some are physical such as video card and other such as file. User program request the device and release when finished o request device, release device o read, write, reposition o get device attributes, set device attributes o logically attach or detach devices Information maintenance System calls exist purely for transferring information between the user program and OS. It can return information about the system, such as the num","Examples of Windows and Unix System Calls MS-DOS execution (a) At system startup (b) running a program FreeBSD Running Multiple Programs System Programs System programs provide a convenient environment for program development and execution. The can be divided into: File manipulation Communications Application programs Most users’ view of the operation system is defined by system programs, not the actual system calls provide a convenient environment for program development and execution Some of them are simply user interfaces to system calls; others are considerably more complex Device management Process requires several resources to execute, if these resources are available, they will be granted and control retuned to user process. Some are physical such as video card and other such as fil"
10720,10733,DBMS,0.81935,near_threshold,0,"Unit -1 Database System Applications and IntroductiontoDatabaseDesign Database System Applications: DBMS contains information about a particular enterprise 1. Collection of interrelated data 2. Set of programs to access the data 3. An environment that is both convenient and efficient to use Database Applications: 1. Banking: all transactions 2. Airlines: reservations, schedules 3. Universities: registration, grades 4. Sales: customers, products, purchases 5. Online retailers: order tracking, customized recommendations 6. Manufacturing: production, inventory, orders, supply chain 7. Human resources: employee records, salaries, tax deductions 8. Databases touch all aspects of our lives What Is a DBMS? A very large, integrated collection of data. Models real-world enterprise. Entities (e.g.,","• Naïve users –invoke one of the permanent application programs that have been written previously – Examples, people accessing database over the web, bank tellers, clerical staff Database Administrator • Coordinates all the activities of the database system – has a good understanding of the enterp • Database administrator's duties include: – Storage structure and access method definition – Schema and physical organization modification – Granting users authority to access the database – Backing up data – Monitoring performance and responding to changes – Database tuning. History of Database Systems: • 1950s and early 1960s: – Data processing using magnetic tapes for storage • Tapes provide only sequential access – Punched cards for input • Late 1960s and 1970s: – Hard disks allow direct acc"
8373,8790,Operating Systems,0.818486,near_threshold,1,"Non-Preemptive Scheduling: CPU is assigned to one process, CPU do not release until the competition of that process. The CPU will assigned to some other process only after the previous process has finished. Preemptive scheduling: here CPU can release the processes even in the middle of the execution. Non-Preemptive Scheduling: CPU is assigned to one process, CPU do not release until the competition of that process. The CPU will assigned to some other process only after the previous process has finished. Preemptive scheduling: here CPU can release the processes even in the middle of the execution. DEPT OF CSE 43 received a signal from process p2. OS compares the priorities of p1 ,p2. If p1>p2, CPU continues the execution of p1. If p1<p2 CPU preempt p1 and assigned to p2. Dispatcher: The mai","that process. The CPU will assigned to some other process only after the previous process has finished. Preemptive scheduling: here CPU can release the processes even in the middle of the execution. CPU received a signal from process p2. OS compares the priorities of p1 ,p2. If p1>p2, CPU continues the execution of p1. If p1<p2 CPU preempt p1 and assigned to p2. Dispatcher: The main job of dispatcher is switching the cpu from one process to another process. Dispatcher connects the cpu to the process selected by the short term scheduler. Dispatcher latency: The time it takes by the dispatcher to stop one process and start another process is known as dispatcher latency. If the dispatcher latency is increasing, then the degree of multiprogramming decreases. SCHEDULING CRITERIA: 1. Throughput:"
9047,9048,Computer Networks,0.811949,near_threshold,0,"The upper layers of the OSI model deal with application issues and generally are implemented only in software. The highest layer, the application layer, is closest to the end user. Both users and application layer processes interact with software applications that contain a communications component. The term upper layer is sometimes used to refer to any layer above another layer in the OSI model. The lower layers of the OSI model handle data transport issues. The physical layer and the data link layer are implemented in hardware and software. The lowest layer, the physical layer, is closest to the physical network medium (the network cabling, for example) and is responsible for actually placing information on the medium . Figure 1.2.2 Two sets of layers make up the OSI layers 1.2.2.2 Proto","example) and is responsible for actually placing information on the medium . Figure 1.2.2 Two sets of layers make up the OSI layers 1.2.2.2 Protocols The OSI model provides a conceptual framework for communication between computers, but the model itself is not a method of communication. Actual communication is made possible by using communication protocols. In the context of data networking, a protocol is a formal set of rules and conventions that governs how computers exchange information over a network medium. A protocol implements the functions of one or more of the OSI layers. A wide variety of communication protocols exist. Some of these protocols include LAN protocols, WAN protocols, network protocols, and routing protocols. LAN protocols operate at the physical and data link layers"
