chunk_id,chunk_text,subject,correct_topic_id,correct_topic_name,source
120,What is a binary semaphore? [2],Operating Systems,167,Semaphores,dev_gold
180,Explain about deadlock detection. [7+8] r,Operating Systems,164,Deadlock Detection and Recovery,dev_gold
301,Is the system currently deadlocked? Why or why not?,Operating Systems,160,Deadlock Characterization,dev_gold
102,Describe the structure and working of a Simple Batch Operating System. How does it improve CPU util ization?,Operating Systems,143,Simple Batch Systems,dev_gold
291,Illustrate the semaphore functions with examples. 5+5 www. jntuonline.com,Operating Systems,167,Semaphores,dev_gold
109,What is paging in memory management? Describe how logical addresses are translated into physical addresses in paging.,Operating Systems,176,Logical Versus Physical Address Space,dev_gold
194,Describe about the different types of File allocation methods. [15] A,Operating Systems,185,File Allocation Methods,dev_gold
231,a) What are the criteria for evaluating the CPU scheduling algorithm? A,Operating Systems,157,Scheduling Algorithms,dev_gold
208,a) Explain about the distributed operating1 system in brief.,Operating Systems,148,Distributed Systems,dev_gold
248,What are the requirements of Critical section problem? [3] E,Operating Systems,165,Critical Section Problem,dev_gold
94,What are system calls in an operating system?,Operating Systems,151,Operating System Services,dev_gold
297,"What is a monitor? Explain how dinning philosopher’s problem is solved using monitors with example pseudo code. [10] Explain the common techniques for structuring the page table. [10] Consider a swap ing system in which memory consists of the following hole sizes in memory order: KB, 4 KB, 20 KB, 18 KB, 7 KB, 9 KB, 12 KB, and [5 KB. Which ole is taken for successive segment requests of: (i) 12 KB (ii) 10 KB (iii) 9 KB for first fit, best fit, worst fit, and next fit approaches. Explain briefly about LFU Page replacement algorithm. [5+5] Explain the following with relevant diagrams:",Operating Systems,178,Virtual Address Space,dev_gold
249,What is Demand Paging? [2],Operating Systems,178,Virtual Address Space,dev_gold
237,Discuss the indexed file allocation method with an example. [5+5] N,Operating Systems,185,File Allocation Methods,dev_gold
183,a) Describe basic method of segmentation. u,Operating Systems,176,Logical Versus Physical Address Space,dev_gold
225,a) Explain different categories of system calls with sui5table example.,Operating Systems,151,Operating System Services,dev_gold
259,What is Semaphore? How can we achieve the synchronization 0using semaphore for producer consumer problem? [5+5] OR 1,Operating Systems,167,Semaphores,dev_gold
129,Write down the services provided by an operating systems with respect to device management. [5+5],Operating Systems,187,System Calls for File I/O Operations,dev_gold
111,Describe the logical and physical structure of a file system. How are files organized on secondary stor age? ---ooOoo---,Operating Systems,184,File System Structure,dev_gold
155,Can we ensure the same degree of security in a time-shared machine as in a dedicated machine? Explain your answer. [5+5] OR 0,Operating Systems,145,Time-shared Systems,dev_gold
118,Why do processes need to communicate? [2],Operating Systems,154,Cooperating Processes,dev_gold
256,a) What is operating system? Explain multiprogramming and time sharing systems.,Operating Systems,144,Multi-programmed Systems,dev_gold
100,What are the different file allocation methods?,Operating Systems,185,File Allocation Methods,dev_gold
136,"Simulate FIFO, LRU and optimal page replacement algorithms on the following reference string and find number of page faults(number of frames = 4) 1,2,3,2,1,2,3,4,5,6,7,3,4,5,6,3 [10]",Operating Systems,178,Virtual Address Space,dev_gold
254,Explain how to eliminate the deadlocks using resource preemption. [3] PART-B (50 Marks),Operating Systems,160,Deadlock Characterization,dev_gold
157,Distinguish between the client–server and peer-to-peer models of distributed systems. [5+5],Operating Systems,148,Distributed Systems,dev_gold
139,a) How file protection is achieved by operating system?,Operating Systems,183,File Protection,dev_gold
128,a) Summarize the evolution of Operating system in detail.,Operating Systems,142,Operating System Introduction,dev_gold
261,"What is the average waiting time and average turn around times of all processes for FCFS, SJF algorithm? [5+5] A Precesses Burst Time Priority P1 10 3 P2 1 1 M P3 2 3 P4 1 4 P5 5 2",Operating Systems,157,Scheduling Algorithms,dev_gold
154,"a) In a multiprogramming and time-sharing environment, several users share the system s simultaneously. This situation can result in various security problems. What are two such problems?",Operating Systems,144,Multi-programmed Systems,dev_gold
131,Explain the preemptive and non-preemptive scheduling criteria. [5+5],Operating Systems,156,Scheduling Criteria,dev_gold
211,a) Explain contiguous and linked file allocation methods.,Operating Systems,185,File Allocation Methods,dev_gold
192,a) Distinguish between logical verses physical address space.,Operating Systems,176,Logical Versus Physical Address Space,dev_gold
177,a) Describe Round Robin scheduling aalgorithm with example.,Operating Systems,157,Scheduling Algorithms,dev_gold
165,Explain the concept of Least Recently Used memory page replacement method and how it is different from sFirst In First Out (FIFO) page replacement method. [10] e,Operating Systems,178,Virtual Address Space,dev_gold
219,Compare internal and external fragmentation. [2] D,Operating Systems,176,Logical Versus Physical Address Space,dev_gold
265,"a) Suppose that a disk drive has 5000 cylinders numbered 0 to 4999. The drive is currently E serving a request at cylinder 143. The queue of pending requests in FIFO order 86,1470,913,1774,948,1509, 1022, 1750, 130 starting from current head position. What is the total distance that disk aDrm moves to satisfy all the pending request for FCFS and SSTF disk scheduling algorithm.",Operating Systems,178,Virtual Address Space,dev_gold
171,a) ExplaiUn about time-sharing operating systems.,Operating Systems,145,Time-shared Systems,dev_gold
95,What are the main criteria used to evaluate CPU scheduling algorithms?,Operating Systems,157,Scheduling Algorithms,dev_gold
176,Explain about shortest Job First Scheduling algorithm with an example. [7+8] p,Operating Systems,157,Scheduling Algorithms,dev_gold
459,How DNS service maps domain names to IP addresses. [8+7] - ---ooOoo--- - P M,Computer Networks,229,IP Addresses,dev_gold
421,Explain Tunneling in Internet layer. [5+5] s,Computer Networks,224,Tunneling,dev_gold
307,What is channel allocation problem?,Computer Networks,201,Multi Access Protocols,dev_gold
448,a) Write about CSMA and CSMA/CD in detail.,Computer Networks,203,CSMA,dev_gold
407,What is CIDR addressing 1 [2],Computer Networks,229,IP Addresses,dev_gold
369,Explain about GBN Sliding Window Protocol. 5+5,Computer Networks,200,Sliding Window Protocol,dev_gold
396,What is packet fragmentation? [5+5],Computer Networks,226,Packet Fragmentation,dev_gold
402,Discuss the design issues of data link layer. [3],Computer Networks,197,Data Link Layer Design Issues,dev_gold
464,What is framing? ExplainP various framing techniques of Data Link Layer. [15],Computer Networks,197,Data Link Layer Design Issues,dev_gold
482,a) Define Routing. Explain Distance Vector Routing Algorithm with an example. e,Computer Networks,219,Distance Vector Routing,dev_gold
431,Mention the differences between IPv4 and IPv6. [3] -,Computer Networks,229,IP Addresses,dev_gold
469,a) Explain about hierarchical routing algorithm. S,Computer Networks,221,Hierarchical Routing,dev_gold
423,Describe DNS with diagrams and real-time examples. [10] a ---ooOoo--- e r,Computer Networks,259,DNS,dev_gold
489,Discuss about HTTP request and response mechanisms. [8+7] ---ooOoo---,Computer Networks,255,HTTP,dev_gold
