chunk_id,subject,chunk_word_count,correct_topic_id,correct_topic_name,st_top1_id,st_top1_topic_name,st_top1_score,correct_in_top3,category_code,category_label,chunk_text
94,Operating Systems,8,151,Operating System Services,142,Operating System Introduction,0.6228,True,D,AMBIGUOUS_CHUNK,What are system calls in an operating system?
95,Operating Systems,11,157,Scheduling Algorithms,156,Scheduling Criteria,0.6665,True,D,AMBIGUOUS_CHUNK,What are the main criteria used to evaluate CPU scheduling algorithms?
97,Operating Systems,5,154,Cooperating Processes,171,IPC Between Processes on a Single System,0.6253,False,D,AMBIGUOUS_CHUNK,What is Interprocess Communication (IPC)?
98,Operating Systems,6,176,Logical Versus Physical Address Space,179,Memory Management Unit (MMU),0.5186,False,D,AMBIGUOUS_CHUNK,What is swapping in memory management?
99,Operating Systems,10,178,Virtual Address Space,,,0.3512,False,A,ABSTAINED,What is the structure and role of a page table?
101,Operating Systems,12,187,System Calls for File I/O Operations,,,0.3695,False,A,ABSTAINED,Define the syntax of read() system call. PART – B (50 Marks)
104,Operating Systems,20,157,Scheduling Algorithms,,,0.3727,True,A,ABSTAINED,Describe the Shortest Job First (SJF) scheduling algorithm. How does preemptive SJF (Shortest Remaining Time First) differ from non-preemptive SJF?
105,Operating Systems,18,160,Deadlock Characterization,159,Deadlocks System Model,0.6554,True,E,NEAR_MISS_TOP3,Explain the system model used for deadlock analysis. What are the necessary conditions for a deadlock to occur?
108,Operating Systems,11,178,Virtual Address Space,,,0.2826,False,A,ABSTAINED,Explain the FIFO (First-In-First-Out) page replacement algorithm. What is Belady's anomaly?
117,Operating Systems,10,147,Parallel Systems,152,Process Concepts and Scheduling,0.448,True,D,AMBIGUOUS_CHUNK,What is symmetric multiprocessor system? List out its characteristics. [3]
119,Operating Systems,9,151,Operating System Services,,,0.3755,False,A,ABSTAINED,What is the use of waitpid() system call? [3]
120,Operating Systems,6,167,Semaphores,,,0.3797,True,A,ABSTAINED,What is a binary semaphore? [2]
122,Operating Systems,5,176,Logical Versus Physical Address Space,,,0.3011,False,A,ABSTAINED,What is internal fragmentation? [2]
124,Operating Systems,6,184,File System Structure,,,0.2328,False,A,ABSTAINED,What is a bit vector? [2]
