pyq_id,subject,question_text,reason,candidate_topic_ids
90,Operating Systems,R22 Code No: 184BZ JAWAHARLAL NEHRU TECHNOLOGICAL UNIVERSITY HYDERABAD,No keyword match found,
92,Operating Systems,"Part-A for 10 marks, ii) Part-B for 50 marks. (cid:127) Part-A is a compulsory question which consists of ten sub-questions from all units carrying equal marks. (cid:127) Part-B consists of ten questions (numbered from 2 to 11) carrying 10 marks each. From each unit, there are two questions and the student should answer one of them. Hence, the student should answer five questions from Part-B. PART – A (10 Marks)",No keyword match found,
93,Operating Systems,a) Define an operating system.,No keyword match found,
94,Operating Systems,What are system calls in an operating system?,No keyword match found,
96,Operating Systems,"Once a deadlock is detected, what are the options for recovery?",No keyword match found,
97,Operating Systems,What is Interprocess Communication (IPC)?,No keyword match found,
98,Operating Systems,What is swapping in memory management?,No keyword match found,
99,Operating Systems,What is the structure and role of a page table?,No keyword match found,
103,Operating Systems,What services does an operating system provide to users and applications? Explain each with an exa mple.,No keyword match found,
105,Operating Systems,Explain the system model used for deadlock analysis. What are the necessary conditions for a deadlock to occur?,No keyword match found,
106,Operating Systems,Explain how semaphores can be used to solve the critical section problem. Provide a producer-consumer example using semaphores.,"Ambiguous matches to multiple topics: Critical Section Problem, Semaphores",165|167
108,Operating Systems,Explain the FIFO (First-In-First-Out) page replacement algorithm. What is Belady's anomaly?,No keyword match found,
109,Operating Systems,What is paging in memory management? Describe how logical addresses are translated into physical addresses in paging.,No keyword match found,
111,Operating Systems,Describe the logical and physical structure of a file system. How are files organized on secondary stor age? ---ooOoo---,No keyword match found,
112,Operating Systems,R18 Code No: 154BR JAWAHARLAL NEHRU TECHNOLOGICAL UNIVERSITY HYDERABAD,No keyword match found,
114,Operating Systems,"Part A is compulsory, which carries 25 marks. In Part A, answer all questions.",No keyword match found,
115,Operating Systems,"In Part B, Answer any one question from each unit. Each question carries 10 marks and may have a, b as sub questions. PART – A (25 Marks)",No keyword match found,
117,Operating Systems,What is symmetric multiprocessor system? List out its characteristics. [3],No keyword match found,
118,Operating Systems,Why do processes need to communicate? [2],No keyword match found,
122,Operating Systems,What is internal fragmentation? [2],No keyword match found,
124,Operating Systems,What is a bit vector? [2],No keyword match found,
128,Operating Systems,a) Summarize the evolution of Operating system in detail.,No keyword match found,
129,Operating Systems,Write down the services provided by an operating systems with respect to device management. [5+5],No keyword match found,
130,Operating Systems,a) What is a process? Distinguish between a process and a program.,No keyword match found,
133,Operating Systems,Briefly discuss about various operations performed on processes. [6+4],No keyword match found,
136,Operating Systems,"Simulate FIFO, LRU and optimal page replacement algorithms on the following reference string and find number of page faults(number of frames = 4) 1,2,3,2,1,2,3,4,5,6,7,3,4,5,6,3 [10]",No keyword match found,
137,Operating Systems,Explain segmentation memory management scheme with neat diagrams. [10],No keyword match found,
140,Operating Systems,"Explain about lseek(), open() and read() system calls. [4+6] ---ooOoo---",No keyword match found,
141,Operating Systems,R18 Code No: 154BR JAWAHARLAL NEHRU TECHNOLOGICAL UNIVERSITY HYDERABAD,No keyword match found,
143,Operating Systems,"Part A is compulsory, which carries 25 marks. In Part A, answer all questions.",No keyword match found,
144,Operating Systems,"UIn Part B, Answer any one question from each unit. Each question carries 10 marks and may have a, b as sub questions. H PART – A (25 Marks)",No keyword match found,
145,Operating Systems,a) Define the essential properties of parallel operating systems. [2],No keyword match found,
146,Operating Systems,How does multiprogramsming increase CPU utilization? [3],No keyword match found,
147,Operating Systems,Write about wait command. [2] e,No keyword match found,
150,Operating Systems,Give an example of the situation describing deadlock. [3],No keyword match found,
151,Operating Systems,What is the purpose of paging the page tpables? [3],No keyword match found,
152,Operating Systems,What is a file? [2] a,No keyword match found,
153,Operating Systems,List down various file attributes. [3] p PART – B e (50 Marks) r,No keyword match found,
156,Operating Systems,a) Under what circumstances would a user be better off using a timesharing system rather than a PC or single-user workstation.,No keyword match found,
158,Operating Systems,"a) Describe the differences among short-term, medium-term, and long-term scheduling.",No keyword match found,
161,Operating Systems,Why is it important for the scheduler to distinguish I/O-bound programs from CPU- bound programs? [5+5],No keyword match found,
162,Operating Systems,a) Demonstrate that monitors and semaphores are equivalent as they can be used to implement the same types of synchronization problems. Jb) What is critical-section problem? Give a classic Peterson’s solution to the critical- section problem. [5+5] N OR,"Ambiguous matches to multiple topics: Semaphores, Monitors",167|170
163,Operating Systems,Discuss the tradeoff between fairness and throughput of operations in the readers- Twriters problem. Propose a method for solving the readers-writers problem without causing starvation. [10],No keyword match found,
164,Operating Systems,"Given five memory partitions of 100 KB, 500 KB, 200 KB, 300 KB, and 600 KB (in order), how would each of the first-fit, best-fit, and worst-fit algorithms place processes H of 212 KB, 417 KB, 112 KB, and 426 KB (in order)? Which algorithm makes the most efficient use of memory? [10]",No keyword match found,
165,Operating Systems,Explain the concept of Least Recently Used memory page replacement method and how it is different from sFirst In First Out (FIFO) page replacement method. [10] e,No keyword match found,
166,Operating Systems,a) What are the advantages of Contiguous allocation? What are the drawbacks of contiguous allocation of disk space? d,No keyword match found,
167,Operating Systems,"Explain the following commands: lseek, stat, ioctl. [4+6]",No keyword match found,
168,Operating Systems,Explain in detail about the common scphemes for defining the logical structure of a directory. [10] a p ---ooOoo--- e r s,No keyword match found,
169,Operating Systems,R18 J Code No: 154BR JAWAHARLAL NEHRU TECHNOLOGICAL UNIVERSITY HYDERABAD,No keyword match found,
173,Operating Systems,a) Briefly explain abeout system calls.,No keyword match found,
181,Operating Systems,a) Describe IPC between processes on a single computer system.,No keyword match found,
183,Operating Systems,a) Describe basic method of segmentation. u,No keyword match found,
184,Operating Systems,Explain about performance of demand paging. [8+7] g,No keyword match found,
185,Operating Systems,R18 Code No: 154BR JAWAHARLAL NEHRU TECHNOLOGICAL UNIVERSITY HYDERABAD,No keyword match found,
187,Operating Systems,a) WUhat are the various components of operating system structure and explain with a neat sketch.,No keyword match found,
188,Operating Systems,"Differentiate between Multi Programming, Multi Tasking and Multi processing systems. H [8+7]",No keyword match found,
191,Operating Systems,What is Deadlock? List the condition that leads to deadlo-ck. How deadlock can be prevented. [15],No keyword match found,
193,Operating Systems,Explain about Virtual Memory Management in detail. [7+8],No keyword match found,
195,Operating Systems,a) What are the various objectives and functions of operating systems?,No keyword match found,
197,Operating Systems,a) What is Demand paging? Explain.,No keyword match found,
198,Operating Systems,Discuss about segmentation with an example. [7+8],No keyword match found,
200,Operating Systems,R18 Code No: 154BR J JAWAHARLAL NEHRU TECHNOLOGICAL UNIVERSITY HYDERABAD,No keyword match found,
204,Operating Systems,What is Semaphore? Give the implementation of Bounded Buffer Producer Consumer Problem using Semaphore. [15] E,"Ambiguous matches to multiple topics: Semaphores, Classical Problems of Synchronization",167|168
205,Operating Systems,Explain the swapping in memory management. [15] D,No keyword match found,
206,Operating Systems,a) Explain about the implementation of Access Matrix.,No keyword match found,
207,Operating Systems,Explain about lseek( ) and stat( ) system calls. [7+8],No keyword match found,
208,Operating Systems,a) Explain about the distributed operating1 system in brief.,No keyword match found,
209,Operating Systems,Explain the various system calls are used in -OS. [7+8],No keyword match found,
212,Operating Systems,Explain about domain protection mechanism in brief. [8+M7] ---ooOoo---,No keyword match found,
213,Operating Systems,R16 Code No: 134BU JAWAHARLAL NEHRU TECHNOLOGICAL UNIVERSITY HYDERABAD J,No keyword match found,
215,Operating Systems,a) Define OperaSting systems. List the objectives of Operating System. [2],No keyword match found,
216,Operating Systems,Illustrate about device controller and drivers. [3],No keyword match found,
218,Operating Systems,What is a critical section? Give example. [3],No keyword match found,
219,Operating Systems,Compare internal and external fragmentation. [2] D,No keyword match found,
220,Operating Systems,"Explain first, best fit memory al location techniques. [3]",No keyword match found,
221,Operating Systems,Define the terms seek time and rotational latency. [2],No keyword match found,
222,Operating Systems,What are the various file accessing1 methods? [3],No keyword match found,
223,Operating Systems,"Explain safe, unsafe and deadlock state process. [2]",No keyword match found,
225,Operating Systems,a) Explain different categories of system calls with sui5table example.,No keyword match found,
226,Operating Systems,What are the functionalities of Operating Systems? Expla-in in detail. [5+5],No keyword match found,
228,Operating Systems,What are the various components of Operating System structure? And explain simple layered approach of Operating System in detail. [5+5],No keyword match found,
233,Operating Systems,What are the disadvantages of single contiguous memory allocation? Explain. [5+5],No keyword match found,
234,Operating Systems,"a) Consider the following page reference string 1,2,3,4,2,1,5,6,2,1,2,3,7,6,3,2,1,2,3,6 Determine how many page faults would occur for Optimal page replacement algorithm. Assume three frames are initially empty.",No keyword match found,
235,Operating Systems,Discuss the procedure for page fault in demand paging. [5+5],No keyword match found,
236,Operating Systems,a) Compare and Contrast Free space management and Swap space management. J,No keyword match found,
237,Operating Systems,Discuss the indexed file allocation method with an example. [5+5] N,No keyword match found,
238,Operating Systems,a) Discuss various types of Disk storage attachments.,No keyword match found,
239,Operating Systems,What are the objectives of file management system? Explain file system architecture. T [5+5],No keyword match found,
241,Operating Systems,Explain the technique used to prevent the deadlock. [5+5] H OR,No keyword match found,
243,Operating Systems,Write the principles of protection? And explain the access matrix in detail. [5+5] S ---ooOoo--- E D A M,No keyword match found,
245,Operating Systems,a) Explain the functions of operating system. [2],No keyword match found,
246,Operating Systems,Explain about the abstract view of the components of a computer system. [3] S,No keyword match found,
247,Operating Systems,Distinguish between I/O bound process and CPU bound process. [2],No keyword match found,
249,Operating Systems,What is Demand Paging? [2],No keyword match found,
251,Operating Systems,Explain about the Acyclic graDph directory. [2],No keyword match found,
252,Operating Systems,Explain about the Solid state disk. [3],No keyword match found,
253,Operating Systems,What is Access Control? [2],No keyword match found,
254,Operating Systems,Explain how to eliminate the deadlocks using resource preemption. [3] PART-B (50 Marks),No keyword match found,
255,Operating Systems,Explain how operating systems are used in a variet1y of computing environments. [10],No keyword match found,
257,Operating Systems,Explain about the dual mode operation in OS with a neat block diagram. [5+5],No keyword match found,
260,Operating Systems,a) Discuss the Peterson’s solution for the race condition with algorithm.,No keyword match found,
262,Operating Systems,"a) Consider the following page reference string J 1,2,3,4,5,3,4,1,6,7,8,7,8,9,7,8,9,5,4,5,4,2 With four Frames. How many page faults would occur for the FIFO, Optimal page N replacement algorithms? Which algorithm is efficient? (Assume all frame are initially empty) T b) What is Thrashing? Explain the Causes of Thrashing. [5+5]",No keyword match found,
263,Operating Systems,"a) Consider the following reference string 7,0,1,2,0,3,0,4,2,3,0,3,2,1,2,0,1,7,0,1. H Assume there are three frames. Apply LRU replacement algorithm to the reference sting above and find out how many page faults are produced. Illustrate the LRU page replacement algorithm in detail and also two feasible implementation of the LRU algorithm.",No keyword match found,
264,Operating Systems,Explain about Swapping. [5+5] S,No keyword match found,
265,Operating Systems,"a) Suppose that a disk drive has 5000 cylinders numbered 0 to 4999. The drive is currently E serving a request at cylinder 143. The queue of pending requests in FIFO order 86,1470,913,1774,948,1509, 1022, 1750, 130 starting from current head position. What is the total distance that disk aDrm moves to satisfy all the pending request for FCFS and SSTF disk scheduling algorithm.","Ambiguous matches to multiple topics: Scheduling Algorithms, Disk Scheduling Algorithms FCFS SSTF SCAN C-SCAN",157|188
268,Operating Systems,a) Explain about the Language based Protection.,No keyword match found,
271,Operating Systems,What is deadlock? Explain the conditions that lead to deadlock. [5+5] ---ooOoo--- A M,No keyword match found,
272,Operating Systems,Code No: 125EH R15 JAWAHARLAL NEHRU TECHNOLOGICAL UNIVERSITY HYDERABAD,No keyword match found,
274,Operating Systems,a) Describe about control card in batch-system. [2],No keyword match found,
276,Operating Systems,What do you turn around Time? [2],No keyword match found,
278,Operating Systems,Describe about hashed page table. [2],No keyword match found,
279,Operating Systems,| What do you mean by external fragmentation? [3],No keyword match found,
280,Operating Systems,Describe about File Allocation Table. [2],No keyword match found,
281,Operating Systems,Mention two important functions of Virtual File System. (VFS) Layer. [3],No keyword match found,
283,Operating Systems,List the necessary conditions to occur the Deadlock. [3] PART -B (50 Marks),No keyword match found,
284,Operating Systems,a) Define operating system? Elaborate the operating system operations with examples?,No keyword match found,
285,Operating Systems,Discuss in detail the main advantage of the layered approach to system design? What are the disadvantages of using layered approach? 5+5,No keyword match found,
286,Operating Systems,Explain the following terms with examples and neat diagrams: 5+5,No keyword match found,
287,Operating Systems,Java Virtual Machine b) Para-Virtualization,No keyword match found,
288,Operating Systems,"a) Differentiate between Long terms, Short term, Medium term Scheduler.",No keyword match found,
290,Operating Systems,a) Discuss in detail about the Dining —Philosophers solution using monitors.,"Ambiguous matches to multiple topics: Classical Problems of Synchronization, Monitors",168|170
